"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 14 08:43:15 GMT 2024","Thu Mar 14 08:43:17 GMT 2024","1839","Role","Create Role","","","","Create Role with empty name string",""
"failed","Thu Mar 14 08:45:49 GMT 2024","Thu Mar 14 08:45:49 GMT 2024","978","Payroll","Create Payroll","","","","Create Payroll with wrong date format",""
"failed","Thu Mar 14 08:43:46 GMT 2024","Thu Mar 14 08:43:49 GMT 2024","2541","Employee","Add Employee","","","","Add Employee with invalid bank_id",""
"passed","Thu Mar 14 08:45:23 GMT 2024","Thu Mar 14 08:45:25 GMT 2024","1861","Account","","","","","Get Account Name with empty Bank code",""
"failed","Thu Mar 14 08:45:55 GMT 2024","Thu Mar 14 08:45:56 GMT 2024","981","Payroll","Create Payroll","","","","Create Payroll with empty sms email fee",""
"passed","Thu Mar 14 08:44:06 GMT 2024","Thu Mar 14 08:44:07 GMT 2024","1146","Employee","Deactivate user","","","","Activate Or Deactivate Employee",""
"failed","Thu Mar 14 08:45:52 GMT 2024","Thu Mar 14 08:45:53 GMT 2024","982","Payroll","Create Payroll","","","","Create Payroll with empty cycle starts",""
"failed","Thu Mar 14 08:46:00 GMT 2024","Thu Mar 14 08:46:01 GMT 2024","977","Payroll","Create Payroll","","","","Create Payroll with empty net payment",""
"failed","Thu Mar 14 08:42:46 GMT 2024","Thu Mar 14 08:42:48 GMT 2024","2137","AUTH","Sign Up","","","","Register",""
"failed","Thu Mar 14 08:46:12 GMT 2024","Thu Mar 14 08:46:13 GMT 2024","973","Payroll","Decline Payroll By ID","","","","Decline Payroll By ID with empty ID",""
"passed","Thu Mar 14 08:44:04 GMT 2024","Thu Mar 14 08:44:06 GMT 2024","2022","Employee","Activate Employee","","","","Activate Or Deactivate Employee",""
"passed","Thu Mar 14 08:45:35 GMT 2024","Thu Mar 14 08:45:37 GMT 2024","1863","Team member","Invite Team Member","","","","Invite Team Member with invalid email",""
"failed","Thu Mar 14 08:46:03 GMT 2024","Thu Mar 14 08:46:04 GMT 2024","977","Payroll","Get List of payroll items","","","","Get  List of Payroll Items with empty ID",""
"passed","Thu Mar 14 08:44:28 GMT 2024","Thu Mar 14 08:44:30 GMT 2024","1669","Setting","","","","","Update settlement  bank details with empty account_number",""
"passed","Thu Mar 14 08:45:40 GMT 2024","Thu Mar 14 08:45:42 GMT 2024","1847","Team member","Invite Team Member","","","","Invite Team Member with empty role_id",""
"failed","Thu Mar 14 08:43:11 GMT 2024","Thu Mar 14 08:43:13 GMT 2024","2547","Role","Create Role","","","","Create Role with invalid business_id",""
"passed","Thu Mar 14 08:44:21 GMT 2024","Thu Mar 14 08:44:23 GMT 2024","1849","Setting","","","","","Upload documents for business with empty kyb_document",""
"passed","Thu Mar 14 08:46:18 GMT 2024","Thu Mar 14 08:46:22 GMT 2024","3716","Audit trail","","","","","Get audit trail by business ID",""
"passed","Thu Mar 14 08:43:01 GMT 2024","Thu Mar 14 08:43:05 GMT 2024","3544","AUTH","Login","","","","login",""
"passed","Thu Mar 14 08:42:51 GMT 2024","Thu Mar 14 08:42:53 GMT 2024","1362","AUTH","Sign Up","","","","Register with invalid email",""
"failed","Thu Mar 14 08:46:06 GMT 2024","Thu Mar 14 08:46:07 GMT 2024","993","Payroll","Get Payroll Details By ID]","","","","Get  Payroll Details By ID with empty ID",""
"passed","Thu Mar 14 08:44:47 GMT 2024","Thu Mar 14 08:44:49 GMT 2024","2191","Setting","","","","","Enable/Disable sms with empty boolean",""
"passed","Thu Mar 14 08:44:34 GMT 2024","Thu Mar 14 08:44:36 GMT 2024","1832","Setting","","","","","Update settlement  bank details with empty business_id",""
"passed","Thu Mar 14 08:45:22 GMT 2024","Thu Mar 14 08:45:23 GMT 2024","1827","Account","","","","","Get Account Name with empty Account Number",""
"passed","Thu Mar 14 08:46:25 GMT 2024","Thu Mar 14 08:46:29 GMT 2024","3769","Audit trail","","","","","Get audit trail with invalid business ID",""
"passed","Thu Mar 14 08:44:26 GMT 2024","Thu Mar 14 08:44:28 GMT 2024","1858","Setting","","","","","Update settlement  bank details",""
"passed","Thu Mar 14 08:43:36 GMT 2024","Thu Mar 14 08:43:40 GMT 2024","3712","Role","Get Role By ID","","","","Get Role By ID with invalid ID",""
"failed","Thu Mar 14 08:44:50 GMT 2024","Thu Mar 14 08:45:22 GMT 2024","31860","Account","","","","","Get Account Name By Account Number",""
"passed","Thu Mar 14 08:44:31 GMT 2024","Thu Mar 14 08:44:34 GMT 2024","2975","Setting","","","","","Update settlement  bank details with empty bank_id",""
"passed","Thu Mar 14 08:45:39 GMT 2024","Thu Mar 14 08:45:40 GMT 2024","1844","Team member","Invite Team Member","","","","Invite Team Member with empty email",""
"passed","Thu Mar 14 08:46:16 GMT 2024","Thu Mar 14 08:46:17 GMT 2024","966","Loan","","","","","Get  Loan Details By ID",""
"passed","Thu Mar 14 08:44:36 GMT 2024","Thu Mar 14 08:44:38 GMT 2024","2201","Setting","","","","","Enable/Disable email",""
"failed","Thu Mar 14 08:43:44 GMT 2024","Thu Mar 14 08:43:46 GMT 2024","2018","Employee","Add Employee","","","","Add Employee with invalid phone_number",""
"failed","Thu Mar 14 08:44:19 GMT 2024","Thu Mar 14 08:44:21 GMT 2024","1859","Setting","","","","","Upload documents for business",""
"passed","Thu Mar 14 08:45:25 GMT 2024","Thu Mar 14 08:45:27 GMT 2024","1834","Account","","","","","Get Account Name with empty string",""
"failed","Thu Mar 14 08:45:53 GMT 2024","Thu Mar 14 08:45:54 GMT 2024","977","Payroll","Create Payroll","","","","Create Payroll with empty cycle ends",""
"passed","Thu Mar 14 08:45:42 GMT 2024","Thu Mar 14 08:45:44 GMT 2024","1657","Team member","Invite Team Member","","","","Invite Team Member with empty role_id and email",""
"passed","Thu Mar 14 08:42:48 GMT 2024","Thu Mar 14 08:42:50 GMT 2024","1529","AUTH","Sign Up","","","","Register with empty first name",""
"passed","Thu Mar 14 08:43:05 GMT 2024","Thu Mar 14 08:43:05 GMT 2024","122","AUTH","Login","","","","login with invalid email",""
"passed","Thu Mar 14 08:46:15 GMT 2024","Thu Mar 14 08:46:16 GMT 2024","969","Loan","","","","","Get  List of Loans",""
"passed","Thu Mar 14 08:44:43 GMT 2024","Thu Mar 14 08:44:45 GMT 2024","2191","Setting","","","","","Enable/Disable sms",""
"passed","Thu Mar 14 08:44:49 GMT 2024","Thu Mar 14 08:44:50 GMT 2024","116","Setting","","","","","Set payslip settings",""
"passed","Thu Mar 14 08:43:43 GMT 2024","Thu Mar 14 08:43:44 GMT 2024","1832","Employee","Add Employee","","","","Add Employee with invalid email",""
"failed","Thu Mar 14 08:46:02 GMT 2024","Thu Mar 14 08:46:03 GMT 2024","976","Payroll","Get List of payroll items","","","","Get  List of Payroll Items with invalid ID",""
"failed","Thu Mar 14 08:43:19 GMT 2024","Thu Mar 14 08:43:22 GMT 2024","2534","Role","Create Role","","","","Create Role with empty business_id string",""
"passed","Thu Mar 14 08:45:27 GMT 2024","Thu Mar 14 08:45:28 GMT 2024","1336","Account","","","","","Get List of Banks",""
"failed","Thu Mar 14 08:46:05 GMT 2024","Thu Mar 14 08:46:06 GMT 2024","970","Payroll","Get Payroll Details By ID]","","","","Get  Payroll Details By ID with Invalid ID",""
"passed","Thu Mar 14 08:44:24 GMT 2024","Thu Mar 14 08:44:26 GMT 2024","1858","Setting","","","","","Upload documents for business with empty file",""
"passed","Thu Mar 14 08:44:11 GMT 2024","Thu Mar 14 08:44:13 GMT 2024","2199","Setting","","","","","Update Settings Business Details",""
"passed","Thu Mar 14 08:45:44 GMT 2024","Thu Mar 14 08:45:46 GMT 2024","2390","Team member","","","","","Get List of Invited Team Members",""
"passed","Thu Mar 14 08:42:54 GMT 2024","Thu Mar 14 08:42:55 GMT 2024","1343","AUTH","Sign Up","","","","Register with RC number being 11 digits",""
"failed","Thu Mar 14 08:45:58 GMT 2024","Thu Mar 14 08:45:59 GMT 2024","994","Payroll","Create Payroll","","","","Create Payroll with empty id",""
"passed","Thu Mar 14 08:46:37 GMT 2024","Thu Mar 14 08:46:39 GMT 2024","1833","Transaction","","","","","Get  Transaction details with empty ID",""
"passed","Thu Mar 14 08:43:53 GMT 2024","Thu Mar 14 08:43:55 GMT 2024","2031","Employee","Get Employee list by Business ID","","","","Get Employees List By BuisnessID",""
"failed","Thu Mar 14 08:46:08 GMT 2024","Thu Mar 14 08:46:09 GMT 2024","982","Payroll","Approve Payroll By ID","","","","Approve Payroll By ID with invalid ID",""
"failed","Thu Mar 14 08:43:09 GMT 2024","Thu Mar 14 08:43:11 GMT 2024","2012","Role","Create Role","","","","Create Role",""
"passed","Thu Mar 14 08:43:55 GMT 2024","Thu Mar 14 08:43:57 GMT 2024","2018","Employee","Get Employee list by Business ID","","","","Get Employees List By invalid BuisnessID",""
"passed","Thu Mar 14 08:43:17 GMT 2024","Thu Mar 14 08:43:19 GMT 2024","2046","Role","Create Role","","","","Create Role with empty description string",""
"passed","Thu Mar 14 08:43:22 GMT 2024","Thu Mar 14 08:43:24 GMT 2024","1859","Role","Create Role","","","","Create Role with empty permission object",""
"failed","Thu Mar 14 08:46:13 GMT 2024","Thu Mar 14 08:46:14 GMT 2024","976","Payroll","","","","","Get  List of Payrolls",""
"failed","Thu Mar 14 08:46:11 GMT 2024","Thu Mar 14 08:46:12 GMT 2024","977","Payroll","Decline Payroll By ID","","","","Decline Payroll By ID with Invalid ID",""
"passed","Thu Mar 14 08:44:30 GMT 2024","Thu Mar 14 08:44:31 GMT 2024","1670","Setting","","","","","Update settlement  bank details with empty account_name",""
"failed","Thu Mar 14 08:45:54 GMT 2024","Thu Mar 14 08:45:55 GMT 2024","977","Payroll","Create Payroll","","","","Create Payroll with empty amount disbursed",""
"passed","Thu Mar 14 08:45:28 GMT 2024","Thu Mar 14 08:45:35 GMT 2024","6223","Team member","Invite Team Member","","","","Invite Team Member",""
"passed","Thu Mar 14 08:44:09 GMT 2024","Thu Mar 14 08:44:11 GMT 2024","1876","Employee","Bulk Employee Upload","","","","Bulk Employee Upload",""
"passed","Thu Mar 14 08:43:07 GMT 2024","Thu Mar 14 08:43:08 GMT 2024","991","AUTH","Login","","","","login with empty password",""
"passed","Thu Mar 14 08:46:22 GMT 2024","Thu Mar 14 08:46:25 GMT 2024","3743","Audit trail","","","","","Get audit trail with empty business ID",""
"passed","Thu Mar 14 08:43:08 GMT 2024","Thu Mar 14 08:43:09 GMT 2024","118","AUTH","Login","","","","login with empty email",""
"passed","Thu Mar 14 08:46:14 GMT 2024","Thu Mar 14 08:46:15 GMT 2024","966","Loan","Book Loan","","","","Book Loan",""
"failed","Thu Mar 14 08:46:09 GMT 2024","Thu Mar 14 08:46:10 GMT 2024","985","Payroll","Approve Payroll By ID","","","","Approve Payroll By ID with empty ID",""
"passed","Thu Mar 14 08:46:17 GMT 2024","Thu Mar 14 08:46:17 GMT 2024","111","Loan","","","","","Approve Loan By ID",""
"passed","Thu Mar 14 08:43:52 GMT 2024","Thu Mar 14 08:43:53 GMT 2024","1852","Employee","Add Employee","","","","Add Employee with empty field",""
"passed","Thu Mar 14 08:44:38 GMT 2024","Thu Mar 14 08:44:41 GMT 2024","2206","Setting","","","","","Enable/Disable email with invalid boolean",""
"passed","Thu Mar 14 08:43:01 GMT 2024","Thu Mar 14 08:43:01 GMT 2024","135","AUTH","Sign Up","","","","Register with empty strings",""
"failed","Thu Mar 14 08:45:49 GMT 2024","Thu Mar 14 08:45:50 GMT 2024","971","Payroll","Create Payroll","","","","Create Payroll with invalid ID",""
"passed","Thu Mar 14 08:43:58 GMT 2024","Thu Mar 14 08:44:02 GMT 2024","4476","Employee","Get Employee Details By ID","","","","Get Employee Details By ID",""
"passed","Thu Mar 14 08:44:02 GMT 2024","Thu Mar 14 08:44:04 GMT 2024","2020","Employee","Get Employee Details By ID","","","","Get Employee Details By using invalid ID",""
"failed","Thu Mar 14 08:46:33 GMT 2024","Thu Mar 14 08:46:35 GMT 2024","2157","Transaction","","","","","Get  Transaction details By ID",""
"passed","Thu Mar 14 08:46:35 GMT 2024","Thu Mar 14 08:46:37 GMT 2024","1834","Transaction","","","","","Get  Transaction details with Invalid ID",""
"passed","Thu Mar 14 08:43:32 GMT 2024","Thu Mar 14 08:43:36 GMT 2024","3703","Role","Get Role By BusinessID","","","","Get Role By BusinessID with empty business_id",""
"passed","Thu Mar 14 08:44:07 GMT 2024","Thu Mar 14 08:44:09 GMT 2024","2012","Employee","Delete Employee","","","","Delete Employee",""
"passed","Thu Mar 14 08:42:53 GMT 2024","Thu Mar 14 08:42:54 GMT 2024","1327","AUTH","Sign Up","","","","Register with invalid phone number",""
"passed","Thu Mar 14 08:44:15 GMT 2024","Thu Mar 14 08:44:17 GMT 2024","1682","Setting","","","","","Update Settings Business Details with empty staff ID",""
"failed","Thu Mar 14 08:43:49 GMT 2024","Thu Mar 14 08:43:52 GMT 2024","2541","Employee","Add Employee","","","","Add Employee with invalid business_id",""
"passed","Thu Mar 14 08:45:37 GMT 2024","Thu Mar 14 08:45:39 GMT 2024","2020","Team member","Invite Team Member","","","","Invite Team Member with invalid role_id",""
"passed","Thu Mar 14 08:44:41 GMT 2024","Thu Mar 14 08:44:43 GMT 2024","2193","Setting","","","","","Enable/Disable email with empty string",""
"failed","Thu Mar 14 08:45:56 GMT 2024","Thu Mar 14 08:45:57 GMT 2024","982","Payroll","Create Payroll","","","","Create Payroll with empty employees loan amount",""
"failed","Thu Mar 14 08:46:04 GMT 2024","Thu Mar 14 08:46:05 GMT 2024","982","Payroll","Get Payroll Details By ID]","","","","Get  Payroll Details By ID",""
"failed","Thu Mar 14 08:45:57 GMT 2024","Thu Mar 14 08:45:58 GMT 2024","974","Payroll","Create Payroll","","","","Create Payroll with empty amount to fund",""
"passed","Thu Mar 14 08:43:24 GMT 2024","Thu Mar 14 08:43:25 GMT 2024","1672","Role","Create Role","","","","Create Role with empty strings",""
"failed","Thu Mar 14 08:43:57 GMT 2024","Thu Mar 14 08:43:58 GMT 2024","119","Employee","Get Employee list by Business ID","","","","Get Employees List with empty BuisnessID",""
"passed","Thu Mar 14 08:44:13 GMT 2024","Thu Mar 14 08:44:15 GMT 2024","2164","Setting","","","","","Update Settings Business Details with invalid staff ID",""
"passed","Thu Mar 14 08:46:17 GMT 2024","Thu Mar 14 08:46:18 GMT 2024","967","Loan","","","","","Decline Loan By ID",""
"passed","Thu Mar 14 08:43:40 GMT 2024","Thu Mar 14 08:43:40 GMT 2024","328","Role","Get Role By ID","","","","Get Single Role",""
"failed","Thu Mar 14 08:46:01 GMT 2024","Thu Mar 14 08:46:02 GMT 2024","983","Payroll","Get List of payroll items","","","","Get  List of Payroll Items",""
"failed","Thu Mar 14 08:42:55 GMT 2024","Thu Mar 14 08:43:01 GMT 2024","5974","AUTH","Sign Up","","","","Register with weak password",""
"passed","Thu Mar 14 08:42:50 GMT 2024","Thu Mar 14 08:42:51 GMT 2024","1522","AUTH","Sign Up","","","","Register with empty last name",""
"failed","Thu Mar 14 08:45:50 GMT 2024","Thu Mar 14 08:45:51 GMT 2024","981","Payroll","Create Payroll","","","","Create Payroll with invalid net/salary",""
